incident_id,date,system_affected,attack_type,severity,resolution_time_hours,status,reported_by,region
INC00001,2024-07-07,Email Server,Privilege Escalation,Critical,30.4,Closed,SOC Analyst,Asia
INC00002,2025-01-23,Firewall,Insider Threat,Medium,44.5,Closed,End User,South America
INC00003,2024-11-04,VPN Gateway,Ransomware,Medium,,Open,IT Admin,Oceania
INC00004,2025-05-06,Workstation,Man-in-the-Middle,High,45.3,Closed,SOC Analyst,Europe
INC00005,2024-07-09,Workstation,Ransomware,Low,12.3,Closed,SOC Analyst,Europe
INC00006,2024-10-18,IoT Device,Malware,Critical,,Open,External Auditor,Europe
INC00007,2024-06-27,Cloud Storage,Zero-Day,Low,12.3,Closed,SOC Analyst,North America
INC00008,2024-11-13,Firewall,DDoS,Critical,,Open,Security Manager,North America
INC00009,2024-09-06,Firewall,Malware,High,58.1,Closed,External Auditor,Africa
INC00010,2024-08-18,Application Server,Zero-Day,Medium,52.3,Closed,External Auditor,South America
INC00011,2024-09-11,VPN Gateway,DDoS,Medium,35.2,Closed,End User,Europe
INC00012,2024-07-27,Workstation,Man-in-the-Middle,High,18.7,Closed,Security Manager,North America
INC00013,2024-06-18,Workstation,Ransomware,Low,24.4,Closed,External Auditor,North America
INC00014,2025-04-09,Email Server,Ransomware,Medium,,Open,IT Admin,North America
INC00015,2024-11-18,Cloud Storage,Password Attack,Low,31.1,Closed,IT Admin,South America
INC00016,2024-12-01,IoT Device,Phishing,High,,Open,Security Manager,South America
INC00017,2025-06-15,Application Server,SQL Injection,Medium,,Open,Security Manager,Africa
INC00018,2024-09-12,IoT Device,Ransomware,High,,Open,Security Manager,North America
INC00019,2024-12-01,Application Server,Insider Threat,High,60.8,Closed,IT Admin,Africa
INC00020,2024-09-18,Web Server,Insider Threat,Critical,,Open,SOC Analyst,Oceania
INC00021,2024-11-11,Email Server,Zero-Day,Medium,,Open,End User,Europe
INC00022,2024-10-29,Application Server,Password Attack,Critical,28.5,Closed,Security Manager,Asia
INC00023,2025-05-08,VPN Gateway,Phishing,Medium,5.6,Closed,End User,Europe
INC00024,2024-07-21,Database,Phishing,High,68.5,Closed,IT Admin,North America
INC00025,2024-08-04,Email Server,Ransomware,Medium,,Open,SOC Analyst,Africa
INC00026,2025-02-27,VPN Gateway,SQL Injection,Low,13.7,Closed,External Auditor,Oceania
INC00027,2025-04-21,Email Server,SQL Injection,Critical,,Closed,SOC Analyst,Asia
INC00028,2024-08-28,Cloud Storage,Insider Threat,Medium,15.9,Closed,External Auditor,Oceania
INC00029,2024-08-01,Firewall,Malware,High,23.1,Closed,External Auditor,North America
INC00030,2024-09-02,Web Server,Password Attack,High,48.3,Closed,SOC Analyst,Africa
INC00031,2024-07-22,Application Server,Phishing,High,,Open,SOC Analyst,South America
INC00032,2024-12-15,VPN Gateway,DDoS,Low,53.4,Closed,End User,Africa
INC00033,2024-09-16,VPN Gateway,Zero-Day,High,,Open,End User,Asia
INC00034,2025-02-13,Database,SQL Injection,Low,19.1,Closed,Security Manager,Africa
INC00035,2024-08-10,Cloud Storage,Password Attack,Low,,Open,End User,Europe
INC00036,2024-10-12,Firewall,Password Attack,Medium,25.8,Closed,External Auditor,Oceania
INC00037,2025-01-28,User Device,Phishing,High,,Open,IT Admin,Oceania
INC00038,2024-11-22,VPN Gateway,Man-in-the-Middle,High,,Open,Security Manager,South America
INC00039,2025-06-10,Database,SQL Injection,Medium,50.4,Closed,End User,Oceania
INC00040,2024-08-25,Application Server,Zero-Day,High,26.1,Closed,External Auditor,Asia
INC00041,2024-12-20,VPN Gateway,SQL Injection,High,18.1,Closed,IT Admin,Asia
INC00042,2025-04-18,User Device,DDoS,Low,53.7,Closed,End User,Oceania
INC00043,2024-08-21,User Device,Privilege Escalation,Medium,,Open,IT Admin,Asia
INC00044,2025-02-22,Application Server,DDoS,Critical,51.6,Closed,IT Admin,Asia
INC00045,2025-05-26,Web Server,Man-in-the-Middle,High,68.1,Closed,Security Manager,North America
INC00046,2025-06-12,IoT Device,SQL Injection,High,32.8,Closed,IT Admin,North America
INC00047,2025-02-09,VPN Gateway,Malware,Medium,30.0,Closed,SOC Analyst,Africa
INC00048,2024-07-31,Web Server,DDoS,Low,,Closed,External Auditor,Asia
INC00049,2025-05-06,Firewall,Malware,Medium,,Open,External Auditor,Africa
INC00050,2025-02-23,User Device,Insider Threat,High,,Open,External Auditor,South America
INC00051,2025-01-13,IoT Device,Privilege Escalation,Critical,,Closed,SOC Analyst,Europe
INC00052,2024-08-02,Firewall,SQL Injection,Critical,13.0,Closed,IT Admin,Africa
INC00053,2025-05-11,Email Server,Phishing,Low,50.3,Closed,Security Manager,Asia
INC00054,2025-06-02,Firewall,SQL Injection,Medium,51.2,Closed,Security Manager,North America
INC00055,2024-07-02,Firewall,SQL Injection,Critical,45.8,Closed,IT Admin,South America
INC00056,2025-04-21,User Device,Ransomware,Medium,65.6,Closed,IT Admin,North America
INC00057,2025-05-19,Email Server,SQL Injection,High,59.7,Closed,End User,South America
INC00058,2025-04-16,VPN Gateway,SQL Injection,Low,68.0,Closed,External Auditor,Africa
INC00059,2024-10-09,VPN Gateway,Malware,Critical,64.3,Closed,End User,Africa
INC00060,2025-02-10,Web Server,Malware,Medium,,Open,External Auditor,Africa
INC00061,2025-06-08,Workstation,Privilege Escalation,High,,Closed,IT Admin,South America
INC00062,2024-09-26,VPN Gateway,SQL Injection,Low,43.0,Closed,Security Manager,North America
INC00063,2024-10-21,Application Server,Insider Threat,High,48.9,Closed,IT Admin,Asia
INC00064,2024-11-20,VPN Gateway,SQL Injection,High,30.0,Closed,External Auditor,North America
INC00065,2024-10-29,Database,Password Attack,Medium,10.1,Closed,Security Manager,Africa
INC00066,2025-06-18,User Device,Zero-Day,High,15.1,Closed,End User,Africa
INC00067,2024-10-06,VPN Gateway,Phishing,High,40.4,Closed,End User,South America
INC00068,2024-06-26,VPN Gateway,Malware,Medium,,Closed,External Auditor,Europe
INC00069,2024-06-20,Email Server,SQL Injection,High,40.7,Closed,SOC Analyst,Europe
INC00070,2025-04-21,VPN Gateway,Malware,High,12.8,Closed,End User,Africa
INC00071,2024-06-22,Workstation,Insider Threat,High,70.6,Closed,IT Admin,South America
INC00072,2024-09-09,Email Server,Insider Threat,Medium,,Open,IT Admin,North America
INC00073,2025-01-28,Cloud Storage,Password Attack,Medium,,Open,SOC Analyst,Asia
INC00074,2025-01-17,IoT Device,Privilege Escalation,Medium,36.3,Closed,IT Admin,South America
INC00075,2024-09-16,VPN Gateway,Password Attack,Medium,55.4,Closed,Security Manager,South America
INC00076,2025-01-05,Firewall,Ransomware,Low,,Open,Security Manager,North America
INC00077,2025-01-07,VPN Gateway,Insider Threat,High,48.5,Closed,IT Admin,South America
INC00078,2025-05-31,Email Server,Man-in-the-Middle,Low,25.2,Closed,SOC Analyst,South America
INC00079,2025-04-28,User Device,Zero-Day,High,,Open,IT Admin,South America
INC00080,2024-07-18,Email Server,Malware,High,,Open,End User,Africa
INC00081,2024-06-29,Cloud Storage,Malware,Low,61.7,Closed,External Auditor,South America
INC00082,2025-01-07,VPN Gateway,Man-in-the-Middle,Medium,,Closed,SOC Analyst,Europe
INC00083,2024-07-30,Workstation,Ransomware,High,32.4,Closed,SOC Analyst,Oceania
INC00084,2024-06-23,Database,Zero-Day,Medium,23.0,Closed,SOC Analyst,North America
INC00085,2025-01-03,Web Server,SQL Injection,High,32.1,Closed,IT Admin,Africa
INC00086,2024-11-20,IoT Device,DDoS,Medium,,Open,Security Manager,Africa
INC00087,2024-07-04,Firewall,Zero-Day,Low,12.0,Closed,Security Manager,Oceania
INC00088,2025-02-08,VPN Gateway,SQL Injection,High,64.9,Closed,Security Manager,Asia
INC00089,2024-07-07,User Device,DDoS,Medium,,Open,End User,Africa
INC00090,2025-01-16,Cloud Storage,SQL Injection,Low,23.1,Closed,Security Manager,South America
